2025-09-18 21:51:00,619 - INFO - KVSS Server started on 127.0.0.1:5050
2025-09-18 21:51:03,661 - INFO - New connection from ('127.0.0.1', 64414)
2025-09-18 21:51:03,664 - INFO - Request from ('127.0.0.1', 64414): KV/1.0 PUT user42 Alice
2025-09-18 21:51:03,665 - INFO - Response to ('127.0.0.1', 64414): 201 CREATED
2025-09-18 21:51:03,665 - INFO - Connection closed for ('127.0.0.1', 64414)
2025-09-18 21:51:03,666 - INFO - New connection from ('127.0.0.1', 64415)
2025-09-18 21:51:03,666 - INFO - Request from ('127.0.0.1', 64415): KV/1.0 GET user42
2025-09-18 21:51:03,666 - INFO - Response to ('127.0.0.1', 64415): 200 OK Alice
2025-09-18 21:51:03,667 - INFO - Connection closed for ('127.0.0.1', 64415)
2025-09-18 21:51:03,667 - INFO - New connection from ('127.0.0.1', 64416)
2025-09-18 21:51:03,667 - INFO - Request from ('127.0.0.1', 64416): KV/1.0 DEL user42
2025-09-18 21:51:03,667 - INFO - Response to ('127.0.0.1', 64416): 204 NO_CONTENT
2025-09-18 21:51:03,668 - INFO - Connection closed for ('127.0.0.1', 64416)
2025-09-18 21:51:03,668 - INFO - New connection from ('127.0.0.1', 64417)
2025-09-18 21:51:03,668 - INFO - Request from ('127.0.0.1', 64417): KV/1.0 GET user42
2025-09-18 21:51:03,668 - INFO - Response to ('127.0.0.1', 64417): 404 NOT_FOUND
2025-09-18 21:51:03,669 - INFO - Connection closed for ('127.0.0.1', 64417)
2025-09-18 21:51:03,669 - INFO - New connection from ('127.0.0.1', 64418)
2025-09-18 21:51:03,669 - INFO - Request from ('127.0.0.1', 64418): KV/1.0 STATS
2025-09-18 21:51:03,670 - INFO - Response to ('127.0.0.1', 64418): 200 OK keys=0 uptime=3s served=5
2025-09-18 21:51:03,670 - INFO - Connection closed for ('127.0.0.1', 64418)
2025-09-18 21:51:03,671 - INFO - New connection from ('127.0.0.1', 64419)
2025-09-18 21:51:03,671 - INFO - Request from ('127.0.0.1', 64419): KV/1.0 QUIT
2025-09-18 21:51:03,671 - INFO - Response to ('127.0.0.1', 64419): 200 OK bye
2025-09-18 21:51:03,672 - INFO - Connection closed for ('127.0.0.1', 64419)
2025-09-18 21:51:04,802 - INFO - New connection from ('127.0.0.1', 64422)
2025-09-18 21:51:04,803 - INFO - Request from ('127.0.0.1', 64422): KV/1.0 PUT user42 Alice
2025-09-18 21:51:04,803 - INFO - Response to ('127.0.0.1', 64422): 201 CREATED
2025-09-18 21:51:04,803 - INFO - Connection closed for ('127.0.0.1', 64422)
2025-09-18 21:51:04,803 - INFO - New connection from ('127.0.0.1', 64423)
2025-09-18 21:51:04,804 - INFO - Request from ('127.0.0.1', 64423): KV/1.0 GET user42
2025-09-18 21:51:04,804 - INFO - Response to ('127.0.0.1', 64423): 200 OK Alice
2025-09-18 21:51:04,804 - INFO - Connection closed for ('127.0.0.1', 64423)
2025-09-18 21:51:04,804 - INFO - New connection from ('127.0.0.1', 64424)
2025-09-18 21:51:04,805 - INFO - Request from ('127.0.0.1', 64424): KV/1.0 PUT user42 Bob
2025-09-18 21:51:04,805 - INFO - Response to ('127.0.0.1', 64424): 200 OK
2025-09-18 21:51:04,805 - INFO - Connection closed for ('127.0.0.1', 64424)
2025-09-18 21:51:04,806 - INFO - New connection from ('127.0.0.1', 64425)
2025-09-18 21:51:04,806 - INFO - Request from ('127.0.0.1', 64425): KV/1.0 DEL user42
2025-09-18 21:51:04,806 - INFO - Response to ('127.0.0.1', 64425): 204 NO_CONTENT
2025-09-18 21:51:04,807 - INFO - Connection closed for ('127.0.0.1', 64425)
2025-09-18 21:51:04,807 - INFO - New connection from ('127.0.0.1', 64426)
2025-09-18 21:51:04,809 - INFO - Request from ('127.0.0.1', 64426): KV/1.0 STATS
2025-09-18 21:51:04,809 - INFO - Response to ('127.0.0.1', 64426): 200 OK keys=0 uptime=4s served=11
2025-09-18 21:51:04,810 - INFO - Connection closed for ('127.0.0.1', 64426)
2025-09-18 21:51:04,810 - INFO - New connection from ('127.0.0.1', 64427)
2025-09-18 21:51:04,811 - INFO - Request from ('127.0.0.1', 64427): PUT user43 Charlie
2025-09-18 21:51:04,811 - INFO - Response to ('127.0.0.1', 64427): 426 UPGRADE_REQUIRED
2025-09-18 21:51:04,811 - INFO - Connection closed for ('127.0.0.1', 64427)
2025-09-18 21:51:04,811 - INFO - New connection from ('127.0.0.1', 64428)
2025-09-18 21:51:04,812 - INFO - Request from ('127.0.0.1', 64428): KV/2.0 GET user42
2025-09-18 21:51:04,812 - INFO - Response to ('127.0.0.1', 64428): 426 UPGRADE_REQUIRED
2025-09-18 21:51:04,812 - INFO - Connection closed for ('127.0.0.1', 64428)
2025-09-18 21:51:04,813 - INFO - New connection from ('127.0.0.1', 64429)
